제목,저자,출간일,쪽수,가격,역자
UX/UI 디자이너를 위한 실무 피그마,클레어 정,2021-11-01,352 쪽,"24,000원",-
머신러닝 디자인 패턴,"발리아파 락슈마난 , 세라 로빈슨 , 마이클 먼",2021-11-01,460 쪽,"38,000원","맹윤호 , 임지순"
소프트웨어 아키텍처 101,"마크 리처즈 , 닐 포드",2021-11-01,472 쪽,"32,000원",이일웅
혼자 공부하는 SQL,우재남,2021-11-01,444 쪽,"24,000원",-
"IT CookBook, 그림으로 배우고 실생활 예제로 실습하는 자바를 부탁해",박세홍(홍팍),2021-10-29,556 쪽,"26,000원",-
온톨로지 과학자를 위한 지식그래프,"딘 알레망 , 제임스 핸들러 , 파비엔 갠던",2021-10-29,544 쪽,"45,000원",김학래
똑똑한 두뇌 연습 : 놀이공원 미로찾기,권나영,2021-10-28,76 쪽,"7,500원",-
한 권으로 다지는 머신러닝&딥러닝 with 파이썬,"알베르토 아르타산체스 , 프라틱 조시",2021-10-21,680 쪽,"40,000원",여인춘
"IT CookBook, 시스템 프로그래밍: 리눅스&유닉스",이종원,2021-10-15,552 쪽,"28,000원",-
살아 움직이는 머신러닝 파이프라인 설계,"하네스 하프케 , 캐서린 넬슨",2021-10-11,416 쪽,"32,000원",송호연
그로킹 심층 강화학습,미겔 모랄레스,2021-10-10,500 쪽,"35,000원",강찬석
소문난 명강의 : 시험장에 몰래 가져갈 이경오의 SQL+SQLD 비밀노트,이경오,2021-10-10,556 쪽,"32,000원",-
1000개 숨은그림찾기 바다 동물,이한이,2021-10-08,96 쪽,"8,000원",-
1000개 숨은그림찾기 아이스크림,김확실,2021-10-08,96 쪽,"8,000원",-
심리 읽어드립니다,"김경일 , 사피엔스 스튜디오",2021-10-08,332 쪽,"17,500원",-
한번에 적용하는 분석,히든그레이스 데이터분석팀,2021-10-08,356 쪽,"24,000원",-
탐험! 숲체험 생물 도감,이치니치 잇슈,2021-10-06,132 쪽,"13,000원",박현숙
깍두기 가계부 2022,쓰담여사,2021-10-01,192 쪽,"14,800원",-
미국 주식으로 시작하는 슬기로운 퀀트투자,"김용환 , Yubin Kim",2021-09-30,416 쪽,"32,000원",-
제대로 배우는 수학적 최적화,우메타니 슌지,2021-09-30,424 쪽,"38,000원",김모세
"1년에 5,000만 원 버는 수익 확장 노하우 네이버 블로그로 돈 벌기",김동석,2021-09-28,312 쪽,"16,000원",-
디자인 1등 유튜버 존코바의 클릭을 유도하는 유튜브 디자인 with 포토샵,존코바(이요한),2021-09-27,348 쪽,"19,800원",-
핸즈온 해킹,"매슈 히키 , 제니퍼 아커리",2021-09-27,776 쪽,"45,000원",류광
정리 잘하는 사람은 이렇게 합니다,고메다 마리나,2021-09-17,208 쪽,"15,000원",박연정
두 발로 선 경제,이용우,2021-09-10,468 쪽,"23,000원",-
인공지능 논리 입문,이은정,2021-09-10,260 쪽,"22,000원",-
머신러닝 파워드 애플리케이션,에마뉘엘 아메장,2021-09-06,304 쪽,"27,000원",박해선
유튜브 마케팅 인사이트,서양수,2021-09-03,280 쪽,"16,500원",-
웹 브라우저 속 머신러닝 TensorFlow.js,카이 사사키,2021-09-01,312 쪽,"25,000원",유수연
"IT CookBook, 처음 만나는 전기기기(2판)","최은혁 , 박숭규",2021-08-31,328 쪽,"24,000원",-
모바일 UX/UI 디자인 강의 with Adobe XD,김영삼,2021-08-30,404 쪽,"26,000원",-
인문학 거저보기 : 서양철학 편,지하늘,2021-08-30,380 쪽,"18,500원",-
처음 배우는 플라스크 웹 프로그래밍,윤정현,2021-08-30,260 쪽,"19,800원",-
"IT CookBook, 현대 센서공학(5판)",Jacob Fraden,2021-08-27,688 쪽,"35,000원","김윤 , 김혁 , 박동욱"
방구석 심리학 실험실,마이클 A. 브릿,2021-08-25,388 쪽,"18,000원",류초롱
"IT CookBook, 모바일 웹 서비스 구현을 위한 JSP 웹 프로그래밍","김현규 , 박유현",2021-08-23,660 쪽,"30,000원",-
혼자서도 척척 접는 종이접기,신구 후미아키,2021-08-23,96 쪽,"9,800원",-
혼자서도 척척 접는 종이접기 2권 세트,신구 후미아키,2021-08-23,192 쪽,"15,000원",-
혼자서도 척척 접는 종이접기 플러스,신구 후미아키,2021-08-23,96 쪽,"9,800원",-
스파크를 이용한 자연어 처리,앨릭스 토머스,2021-08-20,440 쪽,"34,000원",이창현
어른을 위한 두뇌 놀이 책,개러스 무어 박사,2021-08-20,112 쪽,"9,900원",-
클라우드 네이티브를 위한 데이터 센터 네트워크 구축,디네시 G. 더트,2021-08-20,564 쪽,"36,000원",정기훈
